dep_hour,o_min_vis,o_vol,o_fog,o_change,arr_hour,d_min_vis,d_vol,d_fog,d_change,delay
20,0.3,0.28,0.22,0.74,21,6.78,0.89,0.09,0.42,0
16,5.63,0.72,0.7,0.42,17,4.52,0.28,0.87,0.76,0
8,2.19,0.76,0.1,0.38,10,3.62,0.34,0.26,0.04,0
12,5.54,0.83,0.62,0.86,13,5.79,0.7,0.05,0.23,0
7,3.83,0.45,0.83,0.16,8,3.58,0.67,0.7,0.68,1
17,1.68,0.38,0.99,0.64,19,5.59,0.68,0.84,0.78,0
10,2.71,0.21,0.94,0.88,14,3.18,0.66,0.4,0.91,1
7,7.48,0.43,0.58,0.36,10,9.97,0.14,0.49,0.76,1
5,5.98,0.38,0.6,0.47,9,2.55,0.55,0.94,0.68,1
8,1.16,0.43,0.45,0.95,11,8.76,0.26,0.5,0.18,0
9,1.57,0.76,0.54,0.78,11,5.33,0.0,0.32,0.02,0
9,0.63,0.88,0.95,0.09,11,4.89,0.07,0.76,0.77,1
17,2.69,0.87,0.42,0.21,19,5.42,0.73,0.2,0.31,0
14,1.25,0.22,0.34,0.59,18,2.34,0.22,0.07,0.63,0
10,5.17,0.28,0.49,0.54,11,7.25,0.88,0.58,0.24,0
3,6.61,0.35,0.41,0.86,4,0.59,0.65,0.65,0.06,1
3,1.96,0.54,0.14,0.18,5,4.65,0.87,0.08,0.81,0
20,9.69,0.93,0.85,0.17,21,4.88,0.21,0.4,0.06,0
8,2.89,0.7,0.73,0.78,12,6.64,0.49,0.19,0.22,1
1,0.62,0.58,0.5,0.85,4,1.62,0.96,0.08,0.19,0
7,1.24,0.89,0.25,0.59,11,6.21,0.42,0.58,0.52,0
22,2.42,0.4,0.67,0.3,1,3.2,0.75,0.07,0.46,0
2,5.08,0.13,0.35,0.07,4,2.48,0.28,0.44,0.54,0
20,6.7,0.55,0.93,0.1,21,8.79,0.26,0.89,0.74,0
6,2.08,0.63,0.26,0.49,9,9.06,0.85,0.09,0.42,0
4,1.66,0.44,0.71,0.56,7,1.16,0.95,0.69,0.15,1
17,4.33,0.04,0.36,0.93,19,9.72,0.04,0.36,0.68,0
17,9.74,0.75,0.93,0.24,21,1.67,0.8,0.18,0.41,0
13,2.7,0.79,0.11,0.87,15,8.59,0.22,0.82,0.46,1
7,0.29,0.19,0.33,0.86,9,9.67,0.28,0.64,0.4,1
0,8.78,0.26,0.58,0.98,1,0.43,0.6,0.35,0.79,1
3,9.0,0.19,0.04,0.44,7,5.22,0.81,0.69,0.94,0
13,9.49,0.92,0.62,0.66,14,1.29,0.9,0.51,0.67,1
17,1.96,0.66,0.38,0.75,19,1.78,0.57,0.41,0.83,0
18,4.68,0.44,0.21,0.47,21,9.02,0.8,0.17,0.08,0
10,8.19,0.75,0.67,0.22,11,2.03,0.02,0.24,0.48,1
13,7.2,0.38,0.4,0.15,15,6.89,0.89,0.86,0.89,0
22,0.55,0.25,0.85,0.46,2,8.02,0.67,0.99,0.6,1
19,8.31,0.55,0.9,0.74,23,4.77,0.26,0.25,0.64,0
20,2.78,0.08,0.29,0.27,22,3.23,0.54,0.14,0.23,0
2,4.11,0.54,0.42,0.21,6,4.23,0.9,0.58,0.7,0
12,0.11,0.35,0.75,0.85,16,9.54,0.42,0.75,0.55,0
7,4.39,0.03,0.34,0.68,10,4.07,0.17,0.47,0.13,0
12,0.89,0.43,0.87,0.18,13,2.64,0.33,0.45,0.34,0
13,8.36,0.47,0.75,0.05,16,9.52,0.22,0.07,0.96,0
7,8.4,0.62,0.24,0.47,9,1.19,0.95,0.47,0.26,0
23,7.79,0.16,0.31,0.58,0,9.29,0.58,0.91,0.38,1
18,1.06,0.77,0.85,0.6,20,1.25,0.98,0.78,0.35,0
16,0.18,0.42,0.49,0.43,19,3.65,0.89,0.46,0.15,0
20,6.18,0.92,0.77,0.46,23,8.27,0.59,0.32,0.25,0
14,7.52,0.57,0.67,0.34,16,4.97,0.33,0.49,0.35,0
19,5.58,0.52,0.19,0.24,22,4.09,0.56,0.24,0.48,0
0,2.98,0.4,0.24,0.66,1,3.72,0.55,0.34,1.0,0
14,3.1,0.23,0.72,0.32,17,7.44,0.95,0.69,0.19,1
18,9.81,0.83,0.3,0.36,21,3.06,0.71,0.13,0.05,0
4,1.07,0.01,0.28,0.48,8,3.44,0.97,0.25,0.86,0
15,5.79,0.69,0.15,0.81,16,9.49,0.09,0.25,0.56,0
19,7.77,0.38,0.91,0.3,21,5.91,0.43,0.57,0.06,0
6,2.68,0.08,0.24,0.55,8,1.61,0.41,0.69,0.47,1
9,0.76,0.23,0.26,0.79,13,5.92,0.8,0.2,0.11,0
8,0.76,0.17,0.31,0.75,10,5.71,0.29,0.12,0.69,0
16,4.41,0.6,0.89,0.73,20,6.06,0.03,0.23,0.67,0
0,5.78,0.76,0.18,0.52,3,4.45,0.28,1.0,0.44,0
15,4.11,0.32,0.1,0.16,18,4.15,0.5,0.66,0.4,0
2,2.56,0.12,0.77,0.86,5,8.26,0.0,0.87,0.46,0
19,6.27,0.76,0.2,0.55,23,9.28,0.44,0.7,0.12,1
7,3.14,0.01,0.41,0.22,9,8.42,0.11,0.95,0.65,1
9,4.18,0.48,0.47,0.46,12,1.49,0.19,0.6,0.75,1
